I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33211334405763 @ x: -2.903263543304133 y: -2.8999910379951634
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33213584705595 @ x: -2.90428637948825 y: -2.900254503734608
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.3323313218807 @ x: -2.903479527035927 y: -2.9035785663853018
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33227249241008 @ x: -2.901687739269323 y: -2.903556371656398
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33202519088219 @ x: -2.9053143509087342 y: -2.9073444115469815
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33230714264222 @ x: -2.9047183939168453 y: -2.903535181539435
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33211676111202 @ x: -2.9068431098741456 y: -2.902329130761623
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.3307060320874 @ x: -2.905861900775406 y: -2.89410767141006
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33219773590572 @ x: -2.9061097184074622 y: -2.9024895519460134
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33222507727169 @ x: -2.9060120798949396 y: -2.903475585401617
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33226748065492 @ x: -2.9045929005678484 y: -2.9019287911678013
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33231411957075 @ x: -2.904507545676273 y: -2.9037614993552507
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.3322310372167 @ x: -2.9059043512919223 y: -2.903960246072156
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33213013418727 @ x: -2.9004132651847314 y: -2.9021513021142766
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33232541862961 @ x: -2.9035043494069903 y: -2.9041217356595683
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33162334341043 @ x: -2.9022817913927867 y: -2.9098028710717614
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33226270720088 @ x: -2.902633454585759 y: -2.9017552173630445
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33232560894085 @ x: -2.9029549142054414 y: -2.9035280115067974
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33175403978169 @ x: -2.909243896487008 y: -2.902682402284451
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33200115968154 @ x: -2.899164995673027 y: -2.9037299262665774
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33218498544522 @ x: -2.9031501108987823 y: -2.9006481054111974
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33152632985889 @ x: -2.896800243201969 y: -2.9023858924869606
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33181736814097 @ x: -2.9085619028951113 y: -2.905632236752842
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33231728490142 @ x: -2.9028063833993025 y: -2.9040700770763817
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33213848441764 @ x: -2.9024675675488245 y: -2.9003668800661107
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33146209292521 @ x: -2.9014929776584464 y: -2.9103168094118006
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33176145563782 @ x: -2.899609857943033 y: -2.9077242303034936
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33230574092352 @ x: -2.903650742139879 y: -2.9023210467743175
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33186201023994 @ x: -2.9073459970967774 y: -2.8999827743685835
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33166774458228 @ x: -2.9096945247851744 y: -2.9029419135641787
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33227454634122 @ x: -2.9036779048065773 y: -2.9053411528038655
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33227991969231 @ x: -2.9018080028564253 y: -2.9035481298608
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33130917314077 @ x: -2.8960226650687195 y: -2.901848527937844
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.32918831818155 @ x: -2.891113429027649 y: -2.908834214670767
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33170059259464 @ x: -2.898402378307361 y: -2.906724917421031
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33227012036997 @ x: -2.9044021881332793 y: -2.901863102619233
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.331508064321 @ x: -2.897837580898679 y: -2.9074337743607384
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33218935265941 @ x: -2.9063988598247614 y: -2.903545271503254
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33181585673572 @ x: -2.902921021025783 y: -2.908954913342984
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33163309882329 @ x: -2.897204671621749 y: -2.902894586997834
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33221598690832 @ x: -2.901309730892412 y: -2.9022179939578985
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33065645716134 @ x: -2.9125355900753713 y: -2.899582722203129
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33225225148463 @ x: -2.9035498216155564 y: -2.905672765842575
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33187561355876 @ x: -2.8986831090817855 y: -2.90522655768515
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33123574675261 @ x: -2.906226526066459 y: -2.896034061078322
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33228453182934 @ x: -2.904374969752739 y: -2.9049491500816513
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33038070306958 @ x: -2.893342678631937 y: -2.906582760945163
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33218590874523 @ x: -2.90220072342842 y: -2.9061092585709423
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33195320768208 @ x: -2.8989439921615934 y: -2.904448223019002
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33210425926393 @ x: -2.9059026412721867 y: -2.9062753188528747
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.3322332564818 @ x: -2.905701955487009 y: -2.9025474983389357
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33082595267395 @ x: -2.89542880955703 y: -2.8988884998590447
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.3322157354001 @ x: -2.9052711367249695 y: -2.905449193231312
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33213359595064 @ x: -2.90190764952432 y: -2.900566721315372
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33166452530114 @ x: -2.909737342681767 y: -2.9036092870083987
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.3322383373601 @ x: -2.9013782321260404 y: -2.9026746459951314
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33231199028535 @ x: -2.9045058914568225 y: -2.9031119702380614
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33122800229096 @ x: -2.895708258390548 y: -2.901881275454292
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33151752898807 @ x: -2.9046481448988306 y: -2.9102958646556853
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33226536779951 @ x: -2.902813391241911 y: -2.9017168817675643
