"reynolds-rfile"
"Iteration" "reynolds"
("Iteration" "reynolds")
1 39990.89580120146
2 39965.80109210134
3 39946.84420447827
4 39937.54944902634
5 39946.2642255755
6 39971.6967391476
7 39993.6975194677
8 40008.90904089379
9 40019.56536683242
10 40026.81572498995
11 40030.82510799768
12 40031.50831094967
13 40028.9414398959
14 40023.45943245061
15 40015.61792328321
16 40006.13219037742
17 39995.80617663222
18 39985.47218531308
19 39975.9263573159
20 39967.86987060986
21 39961.85922366098
22 39958.27077561267
23 39957.27853549687
24 39958.84991084999
25 39962.75685854956
26 39968.6017499684
27 39975.85501956037
28 39983.90148327468
29 39992.09140365184
30 39999.79178517936
31 40006.43434742092
32 40011.55690626214
33 40014.83338355716
34 40016.09384586188
35 40015.33055330998
36 40012.69143411209
37 40008.46195007799
38 40003.03711212219
39 39996.88623145236
40 39990.51349857376
41 39984.41754419914
42 39979.0533818176
43 39974.7992926796
44 39971.93122323269
45 39970.60612876814
46 39970.85543049525
47 39972.58822446437
48 39975.60396191885
49 39979.61308539451
50 39984.26330716513
51 39989.16962020038
52 39993.9454695021
53 39998.23250211416
54 40001.7267500427
55 40004.1997078803
56 40005.51161927199
57 40005.61854723272
58 40004.57097019255
59 40002.50525254643
60 39999.6292190001
61 39996.20267959515
62 39992.51507184499
63 39988.86178854878
64 39985.52132136977
65 39982.73478699298
66 39980.68898080995
67 39979.50532117103
68 39979.23322159063
69 39979.85002919548
70 39981.26625231877
71 39983.33565929898
72 39985.86922367127
73 39988.65166567371
74 39991.45916103228
75 39994.07687471013
76 39996.31485796405
77 39998.02158850682
78 39999.09326335359
79 39999.47969955375
80 39999.18544963171
81 39998.26678862405
82 39996.82490934923
83 39994.99600258368
84 39992.93917018754
85 39990.82317255109
86 39988.81308396746
87 39987.05789242305
88 39985.67981977868
89 39984.76654263264
90 39984.36569263456
91 39984.48385756774
92 39985.08750115316
93 39986.10766210806
94 39987.44693810691
95 39988.98828821234
96 39990.60488595652
97 39992.17029020259
98 39993.56805860076
99 39994.7001592486
100 39995.49355380231
