Depth [m],Temperature [degC]
0.005283935,67.43455497
0.021135982,79.02268654
0.066050155,77.48691099
0.10832224,79.16230366
0.203434521,74.4153567
0.264200742,68.8307134
0.295904835,66.17801047
0.398943261,59.89528796
0.491413454,55.42757204
0.597093848,50.8202422
0.697490064,46.4921466
0.805812304,42.30366492
0.885072539,40.62827225
0.996036867,38.53403141
1.083223125,37.55671476
1.188903519,35.32286
1.289299735,33.92670157
1.384412017,32.11168858
1.495376345,27.78359298
1.595772804,22.33856681
1.735799137,10.89005236
